,likes_count,comments_count,common_friends_count,is_friend
467,2,0,3,0
4568,4,0,1,0
5468,3,0,1,0
4409,2,0,0,1
6791,2,1,0,1
1462,0,2,0,1
537,1,0,0,1
4225,1,0,0,1
6630,1,0,0,1
2548,1,0,0,0
3843,2,0,0,1
6519,1,0,1,0
3404,5,0,2,0
4885,1,0,0,0
1860,1,0,0,0
5771,2,0,2,0
4190,1,0,1,0
3465,1,0,1,0
3077,1,0,1,0
6047,3,0,1,0
2149,2,0,1,0
3084,3,0,3,0
6909,1,0,0,0
4574,6,0,1,0
4449,2,0,1,0
3312,1,0,1,0
5518,3,3,1,0
4316,1,0,2,0
2592,1,0,0,1
5999,1,0,1,0
4623,1,0,0,0
3443,6,0,1,0
2233,2,0,2,0
4070,2,0,0,0
6407,8,0,0,1
2457,2,0,0,0
3370,1,0,1,0
4624,6,1,0,0
6315,1,0,2,0
5085,1,0,1,0
6095,2,0,1,0
2405,4,0,0,1
5443,2,0,0,0
1704,1,0,0,1
2694,1,0,0,1
6815,1,0,1,0
2489,1,0,0,1
1338,1,0,0,0
5588,1,0,1,0
3892,9,0,1,0
4197,1,0,1,0
1943,1,0,1,0
5196,8,2,1,1
1685,2,0,0,0
1003,1,0,0,0
2496,1,0,0,0
3603,1,0,3,0
417,6,1,0,1
5618,2,0,0,1
4510,1,0,1,0
2347,2,0,1,0
5173,2,0,0,1
5273,1,0,2,0
3290,2,0,0,0
5863,1,0,0,1
5231,1,0,0,1
6716,2,0,0,1
848,4,0,1,1
6166,4,0,0,1
6328,1,0,1,0
2882,2,0,0,1
1845,2,0,1,0
1702,2,0,0,1
6304,2,0,1,0
1952,3,0,0,0
4137,1,0,2,0
3154,2,0,0,0
4680,1,0,0,0
2656,1,0,0,0
334,1,0,0,1
5793,5,0,1,0
6182,1,0,0,0
2567,1,0,0,0
5955,6,0,4,0
6574,1,0,1,0
3482,4,0,0,1
758,1,0,0,1
4403,2,0,1,0
4508,1,0,1,0
5834,3,0,1,0
5089,1,0,0,0
2278,1,0,0,0
146,2,0,0,1
4546,2,0,1,0
3023,2,0,1,0
2873,2,0,0,1
1750,3,0,1,0
4838,3,0,1,0
2211,1,0,2,0
1460,7,0,2,0
711,1,0,0,1
5315,1,0,0,0
1373,5,0,0,1
4740,3,0,0,0
961,1,0,2,0
1699,9,5,0,1
4782,1,0,1,0
3836,4,0,0,1
4575,1,0,2,0
6113,4,0,1,0
4376,2,0,1,1
1503,4,0,0,1
2154,6,0,1,0
2325,1,0,1,0
62,1,0,2,1
4642,1,0,0,0
5276,1,0,1,0
5861,5,0,0,1
714,1,0,0,1
3007,3,0,0,0
3790,1,0,0,1
1351,5,0,3,0
513,1,0,0,1
6538,1,0,0,1
3044,1,0,1,0
1387,1,0,0,1
297,1,0,0,1
2919,1,1,0,0
5953,1,0,0,0
2884,1,0,0,0
336,1,0,0,1
321,1,0,2,1
6025,1,0,0,0
2661,1,0,1,0
6927,1,0,0,1
1062,3,0,0,1
5018,3,0,3,0
4217,1,0,0,1
694,3,0,0,1
1662,0,1,0,1
1864,1,0,1,0
5404,1,0,1,0
6300,2,0,1,0
1664,1,0,0,0
825,4,4,0,1
3983,2,0,1,0
387,2,0,1,1
3027,9,0,2,0
2863,1,0,0,1
5936,1,0,0,0
4253,4,0,1,0
5013,0,1,27,0
2888,1,0,0,1
4124,2,0,1,1
151,2,0,0,0
2441,2,0,0,1
916,2,0,0,1
6400,1,0,1,0
5177,1,0,0,1
4626,1,0,0,0
6045,3,0,1,0
6189,3,0,0,1
3396,3,0,0,0
3309,1,0,1,0
6969,1,0,0,0
1120,2,0,0,1
4303,1,0,1,0
2095,8,0,1,0
1757,5,0,2,0
1281,1,0,0,0
5106,1,0,1,0
998,1,0,0,0
2529,1,0,2,0
6180,1,0,1,0
2327,1,0,0,0
4383,2,0,0,1
478,2,0,1,0
6008,9,0,1,0
2631,1,0,1,0
3560,1,0,0,1
1261,7,0,0,1
3599,1,0,1,0
3639,2,0,1,0
5400,2,0,1,0
3241,1,0,1,0
4562,1,0,0,1
2375,1,0,0,1
4770,1,0,0,0
5608,1,0,2,0
5549,1,0,0,0
202,1,0,2,0
3163,7,0,1,0
5350,2,0,0,0
3712,1,0,1,0
6676,2,0,0,1
1384,2,0,1,0
5192,8,0,0,1
3575,1,0,0,0
2794,1,0,0,1
4620,1,0,1,0
143,1,0,1,1
2305,3,1,0,1
3469,1,0,0,1
6459,1,0,0,1
5847,6,0,1,0
1977,1,0,1,0
5216,1,0,0,1
438,3,0,3,0
2688,1,0,0,1
976,5,0,3,0
6136,8,0,2,0
727,1,0,0,1
174,1,0,2,0
2315,1,0,1,0
3489,1,0,1,0
4252,1,0,0,0
2483,1,0,1,0
5584,5,0,1,0
2852,5,0,0,1
6162,1,0,1,0
1130,2,0,0,1
5612,1,0,1,0
5438,3,0,1,0
495,2,0,0,1
4778,2,1,0,0
1159,8,0,0,1
1075,1,0,0,1
561,1,0,0,0
2895,1,0,0,0
2779,2,0,0,1
3101,2,0,1,0
5105,1,0,1,0
1009,6,0,0,1
4663,2,0,1,0
5136,1,0,1,0
4977,3,0,1,0
6582,2,0,0,1
873,2,0,0,1
3520,1,0,0,0
2279,2,0,1,0
1819,1,0,1,0
3245,1,0,1,0
6435,1,0,0,1
349,1,0,0,1
4579,2,0,0,1
4968,2,0,1,0
6266,1,0,1,0
2754,5,0,0,1
43,1,0,1,1
4651,1,0,0,0
7001,2,0,0,1
4711,1,0,0,1
2954,1,0,0,0
1648,1,0,0,1
702,2,0,0,1
3042,3,0,1,0
4705,1,0,1,0
173,1,0,2,0
3340,1,0,1,0
5701,2,0,1,0
4890,2,0,1,0
592,1,0,0,0
6659,2,0,0,1
5454,1,0,1,0
2927,1,0,0,0
6565,4,0,0,1
4426,1,0,0,0
3143,4,0,1,0
831,1,0,1,1
1033,1,0,2,0
2837,2,0,0,1
169,5,0,0,1
348,1,0,0,1
1980,1,0,0,0
1975,2,0,0,0
337,1,0,0,1
2594,1,0,1,0
5324,2,0,1,0
4122,3,0,2,0
2093,2,0,0,0
1209,3,0,0,1
508,2,0,0,0
3542,10,0,1,0
2818,1,0,0,1
5980,1,0,0,0
4073,3,0,1,0
1817,1,0,1,0
5966,3,0,0,0
3121,1,0,0,0
3691,1,0,0,0
4201,1,0,2,0
1263,1,0,0,1
819,1,0,0,1
